ts_iso,timestamp,time,cycle,addr,pressure,unit,latency_s,source,status
2026-05-11T16:51:21.000092+03:00,1778507481.000092,1005.000076,202,1,100.503,kPa,3.491260,DPS8000,OK
2026-05-11T16:51:26.000092+03:00,1778507486.000092,1010.000076,203,1,100.503,kPa,3.491491,DPS8000,OK
2026-05-11T16:51:31.000092+03:00,1778507491.000092,1015.000076,204,1,100.489,kPa,3.528902,DPS8000,OK
2026-05-11T16:51:36.000097+03:00,1778507496.000097,1020.000081,205,1,100.507,kPa,3.491017,DPS8000,OK
2026-05-11T16:51:41.000091+03:00,1778507501.000091,1025.000075,206,1,100.505,kPa,3.491415,DPS8000,OK
2026-05-11T16:51:46.000095+03:00,1778507506.000095,1030.000079,207,1,100.503,kPa,3.491520,DPS8000,OK
2026-05-11T16:51:51.000091+03:00,1778507511.000091,1035.000075,208,1,100.503,kPa,3.528858,DPS8000,OK
2026-05-11T16:51:56.000093+03:00,1778507516.000093,1040.000077,209,1,100.486,kPa,3.491116,DPS8000,OK
2026-05-11T16:52:01.000091+03:00,1778507521.000091,1045.000075,210,1,100.503,kPa,3.491391,DPS8000,OK
2026-05-11T16:52:06.000092+03:00,1778507526.000092,1050.000076,211,1,100.504,kPa,3.541575,DPS8000,OK
2026-05-11T16:52:11.000086+03:00,1778507531.000086,1055.000070,212,1,100.488,kPa,3.528865,DPS8000,OK
2026-05-11T16:52:16.000085+03:00,1778507536.000085,1060.000069,213,1,100.503,kPa,3.491049,DPS8000,OK
2026-05-11T16:52:21.000091+03:00,1778507541.000091,1065.000075,214,1,100.505,kPa,3.491262,DPS8000,OK
2026-05-11T16:52:26.000094+03:00,1778507546.000094,1070.000078,215,1,100.504,kPa,3.491553,DPS8000,OK
2026-05-11T16:52:31.000092+03:00,1778507551.000092,1075.000076,216,1,100.503,kPa,3.528930,DPS8000,OK
2026-05-11T16:52:36.000093+03:00,1778507556.000093,1080.000077,217,1,100.503,kPa,3.491050,DPS8000,OK
2026-05-11T16:52:41.000092+03:00,1778507561.000092,1085.000076,218,1,100.487,kPa,3.491347,DPS8000,OK
2026-05-11T16:52:46.000095+03:00,1778507566.000095,1090.000079,219,1,100.503,kPa,3.491570,DPS8000,OK
